DATE,CPI Houston
2/1/1990,118.7
3/1/1990,.
4/1/1990,118.3
5/1/1990,.
6/1/1990,119.7
7/1/1990,.
8/1/1990,121.5
9/1/1990,.
10/1/1990,124
11/1/1990,.
12/1/1990,123
1/1/1991,.
2/1/1991,124.3
3/1/1991,.
4/1/1991,123.5
5/1/1991,.
6/1/1991,124.9
7/1/1991,.
8/1/1991,124.8
9/1/1991,.
10/1/1991,127.3
11/1/1991,.
12/1/1991,127
1/1/1992,.
2/1/1992,127
3/1/1992,.
4/1/1992,128.7
5/1/1992,.
6/1/1992,129.4
7/1/1992,.
8/1/1992,129.9
9/1/1992,.
10/1/1992,130.8
11/1/1992,.
12/1/1992,129.3
1/1/1993,.
2/1/1993,131.7
3/1/1993,.
4/1/1993,131.8
5/1/1993,.
6/1/1993,132.9
7/1/1993,.
8/1/1993,133
9/1/1993,.
10/1/1993,136.6
11/1/1993,.
12/1/1993,136.5
1/1/1994,.
2/1/1994,137
3/1/1994,.
4/1/1994,136.8
5/1/1994,.
6/1/1994,137.4
7/1/1994,.
8/1/1994,139.2
9/1/1994,.
10/1/1994,139.3
11/1/1994,.
12/1/1994,137.8
1/1/1995,.
2/1/1995,139.3
3/1/1995,.
4/1/1995,138
5/1/1995,.
6/1/1995,139.9
7/1/1995,.
8/1/1995,140.1
9/1/1995,.
10/1/1995,141.6
11/1/1995,.
12/1/1995,140.9
1/1/1996,.
2/1/1996,141.5
3/1/1996,.
4/1/1996,143.1
5/1/1996,.
6/1/1996,142.8
7/1/1996,.
8/1/1996,142.8
9/1/1996,.
10/1/1996,143.2
11/1/1996,.
12/1/1996,143.6
1/1/1997,.
2/1/1997,144.5
3/1/1997,.
4/1/1997,145.2
5/1/1997,.
6/1/1997,144.8
7/1/1997,.
8/1/1997,145.4
9/1/1997,.
10/1/1997,147.3
11/1/1997,.
12/1/1997,145.6
1/1/1998,.
2/1/1998,146.1
3/1/1998,.
4/1/1998,146.3
5/1/1998,.
6/1/1998,146.4
7/1/1998,.
8/1/1998,147.4
9/1/1998,.
10/1/1998,148.5
11/1/1998,.
12/1/1998,146.1
1/1/1999,.
2/1/1999,146.6
3/1/1999,.
4/1/1999,148.3
5/1/1999,.
6/1/1999,148.3
7/1/1999,.
8/1/1999,148.9
9/1/1999,.
10/1/1999,151.2
11/1/1999,.
12/1/1999,150.3
1/1/2000,.
2/1/2000,152.1
3/1/2000,.
4/1/2000,152.8
5/1/2000,.
6/1/2000,154.1
7/1/2000,.
8/1/2000,154.4
9/1/2000,.
10/1/2000,157.1
11/1/2000,.
12/1/2000,156.2
1/1/2001,.
2/1/2001,158.6
3/1/2001,.
4/1/2001,159.5
5/1/2001,.
6/1/2001,159.6
7/1/2001,.
8/1/2001,158.6
9/1/2001,.
10/1/2001,159.4
11/1/2001,.
12/1/2001,157.1
1/1/2002,.
2/1/2002,156.6
3/1/2002,.
4/1/2002,158.8
5/1/2002,.
6/1/2002,158.3
7/1/2002,.
8/1/2002,160.1
9/1/2002,.
10/1/2002,162.6
11/1/2002,.
12/1/2002,159.8
1/1/2003,.
2/1/2003,164
3/1/2003,.
4/1/2003,162.5
5/1/2003,.
6/1/2003,162.5
7/1/2003,.
8/1/2003,164.1
9/1/2003,.
10/1/2003,166.1
11/1/2003,.
12/1/2003,164.1
1/1/2004,.
2/1/2004,168.5
3/1/2004,.
4/1/2004,169.7
5/1/2004,.
6/1/2004,169.3
7/1/2004,.
8/1/2004,169.1
9/1/2004,.
10/1/2004,171.8
11/1/2004,.
12/1/2004,170
1/1/2005,.
2/1/2005,174.6
3/1/2005,.
4/1/2005,175
5/1/2005,.
6/1/2005,174.2
7/1/2005,.
8/1/2005,175.5
9/1/2005,.
10/1/2005,179.2
11/1/2005,.
12/1/2005,177.2
1/1/2006,.
2/1/2006,178.6
3/1/2006,.
4/1/2006,181.2
5/1/2006,.
6/1/2006,182.4
7/1/2006,.
8/1/2006,182.5
9/1/2006,.
10/1/2006,180.4
11/1/2006,.
12/1/2006,179.2
1/1/2007,.
2/1/2007,181.217
3/1/2007,.
4/1/2007,184.14
5/1/2007,.
6/1/2007,184.529
7/1/2007,.
8/1/2007,183.74
9/1/2007,.
10/1/2007,184.922
11/1/2007,.
12/1/2007,186.246
1/1/2008,.
2/1/2008,187.585
3/1/2008,.
4/1/2008,188.795
5/1/2008,.
6/1/2008,193.567
7/1/2008,.
8/1/2008,192.723
9/1/2008,.
10/1/2008,191.14
11/1/2008,.
12/1/2008,185.93
1/1/2009,.
2/1/2009,187.972
3/1/2009,.
4/1/2009,189.701
5/1/2009,.
6/1/2009,192.325
7/1/2009,.
8/1/2009,191.687
9/1/2009,.
10/1/2009,191.608
11/1/2009,.
12/1/2009,190.932
1/1/2010,.
2/1/2010,192.412
3/1/2010,.
4/1/2010,194.037
5/1/2010,.
6/1/2010,194.734
7/1/2010,.
8/1/2010,195.165
9/1/2010,.
10/1/2010,195.094
11/1/2010,.
12/1/2010,194.479
1/1/2011,.
2/1/2011,197.224
3/1/2011,.
4/1/2011,201.624
5/1/2011,.
6/1/2011,201.309
7/1/2011,.
8/1/2011,202.445
9/1/2011,.
10/1/2011,201.398
11/1/2011,.
12/1/2011,200.477
1/1/2012,.
2/1/2012,204.291
3/1/2012,.
4/1/2012,206.088
5/1/2012,.
6/1/2012,204.829
7/1/2012,.
8/1/2012,203.959
9/1/2012,.
10/1/2012,204.139
11/1/2012,.
12/1/2012,202.477
1/1/2013,.
2/1/2013,205.716
3/1/2013,.
4/1/2013,207.506
5/1/2013,.
6/1/2013,207.882
7/1/2013,.
8/1/2013,208.575
9/1/2013,.
10/1/2013,207.788
11/1/2013,.
12/1/2013,209.814
1/1/2014,.
2/1/2014,211.745
3/1/2014,.
4/1/2014,213.309
5/1/2014,.
6/1/2014,214.668
7/1/2014,.
8/1/2014,214.102
9/1/2014,.
10/1/2014,214.791
11/1/2014,.
12/1/2014,212.169
1/1/2015,.
2/1/2015,210.283
3/1/2015,.
4/1/2015,212.439
5/1/2015,.
6/1/2015,213.896
7/1/2015,.
8/1/2015,214.652
9/1/2015,.
10/1/2015,214.569
11/1/2015,.
12/1/2015,212.936
1/1/2016,.
2/1/2016,214.505
3/1/2016,.
4/1/2016,215.513
5/1/2016,.
6/1/2016,217.305
7/1/2016,.
8/1/2016,216.582
9/1/2016,.
10/1/2016,218.2
11/1/2016,.
12/1/2016,217.758
1/1/2017,.
2/1/2017,219.061
3/1/2017,.
4/1/2017,219.852
5/1/2017,.
6/1/2017,220.805
7/1/2017,.
8/1/2017,221.255
9/1/2017,.
10/1/2017,223.213
11/1/2017,.
12/1/2017,221.568
1/1/2018,.
2/1/2018,224.711
3/1/2018,.
4/1/2018,225.116
5/1/2018,.
6/1/2018,227.393
7/1/2018,.
8/1/2018,226.307
9/1/2018,.
10/1/2018,228.07
11/1/2018,.
12/1/2018,226.557
